JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2413980.49,6.62,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2413983.59,6.36,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2413984.55,6.32,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2413988.51,6.01,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2413988.57,5.59,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2413988.61,5.97,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2413994.53,6.21,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2413999.5,5.80,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414001.5,5.50,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414005.52,6.26,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414005.6,6.03,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414012.55,6.26,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414014.52,6.32,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414016.5,6.36,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414017.55,5.70,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414026.51,6.46,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414030.55,6.73,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414033.52,6.83,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414035.53,6.88,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414035.55,6.88,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414043.51,6.88,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414201.82,11.87,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414221.7,12.37,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414232.66,11.92,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414236.67,11.92,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414239.61,11.92,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414242.65,11.82,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414252.59,11.82,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414253.61,11.82,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414256.62,11.82,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414259.64,11.31,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414265.57,10.62,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414270.6,10.18,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414271.61,10.56,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414274.61,10.56,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414274.62,10.18,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414277.6,10.56,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414277.62,10.38,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414277.67,10.76,,,Vis.,WOQ,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414277.76,10.70,,,Vis.,WEE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414278.58,10.62,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414278.84,10.76,,,Vis.,WEE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414282.64,10.34,,,Vis.,WOQ,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414282.64,10.42,,,Vis.,WOQ,,NA,,NA,FROSCHLIN; ANHAR37.145; FINDER SCOPE,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414282.64,9.97,,,Vis.,HCO,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414283.58,10.56,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414283.67,10.42,,,Vis.,WOQ,,NA,,NA,FROSCHLIN; ANHAR37.145; FINDER SCOPE,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414283.67,9.97,,,Vis.,HCO,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414284.55,10.86,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414284.74,10.27,,,Vis.,WEE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414286.6,10.18,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414286.67,10.07,,,Vis.,WOQ,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414286.67,10.43,,,Vis.,WOQ,,NA,,NA,FROSCHLIN; ANHAR37.145; FINDER SCOPE,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414286.67,10.18,,,Vis.,HCO,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414287.75,9.97,,,Vis.,WEE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414289.75,9.87,,,Vis.,WEE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414291.75,9.77,,,Vis.,WEE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414293.65,9.34,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414293.75,9.67,,,Vis.,WEE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414295.71,9.66,,,Vis.,WEE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414298.76,9.66,,,Vis.,WEE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414306.82,9.77,,,Vis.,WEE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414307.42,9.08,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414308.84,9.67,,,Vis.,WEE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414309.5,8.94,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414314.78,9.36,,,Vis.,WEE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414317.79,9.31,,,Vis.,WEE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414319.84,9.13,,,Vis.,WEE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414327.5,8.68,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414327.79,8.82,,,Vis.,WEE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414334.57,8.46,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414338.55,8.16,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414345.62,7.94,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414346.5,7.38,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414347.57,7.22,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414348.55,7.22,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414349.53,6.93,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414352.55,6.73,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414354.55,6.62,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414354.6,6.98,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414357.59,6.42,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414358.54,6.83,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414358.55,6.42,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414359.51,6.46,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414363.56,6.42,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414366.54,6.46,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414374.52,6.11,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414375.53,6.36,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414376.53,6.36,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414376.54,6.36,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414380.5,6.36,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414383.52,6.36,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414386.52,6.42,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414389.56,6.62,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414396.5,6.58,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414398.52,6.78,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414401.52,6.73,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414406.52,6.78,,,Vis.,SFE,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414610.59,<9.8,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414674.64,9.56,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414709.59,8.06,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414720.56,6.83,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414724.57,6.46,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414738.55,5.83,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414755.59,6.11,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2414984.6,12.17,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2415047.55,9.98,,,Vis.,RWX,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2415065.57,9.13,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2415084.55,7.48,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2415092.56,6.70,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2415095.55,6.00,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2415100.5,6.10,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2415101.54,6.26,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2415107.54,6.12,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
2415113.57,6.10,,,Vis.,CN,,NA,,NA,FROSCHLIN; ANHAR37.145,,,Z,,,,U ORI,AAVSO,STD,,1902AnHar..37..145W,FCHA,
